60d437aa bfb6e3b1 2df8599f cf63c5b4
8b1aecad 6f1da60a a77efba2 90519884
6b3ec36b 57ca3c4a 5e4cfd68 3a5a397a
35dc2525 096ab4c4 a039688a 073b7ed2
9dda7b48 8d8499b5 56e18193 42bf632e
c086d860 cea66dce c4548750 56d45c1b
93edec92 8f63f180 4bdaa81f 3e48f971
083aab09 e0d1ced3 f08407de 584bc11f
1dad9fe0 51177886 9e1063a7 99db6ee9
21b0f9a6 9724fac1 dac17914 3e30830a
78fa2746 327b7290 f82a386e 2f087310
b2d0dd72 b0a1fe9d c137c947 5e2d972d
6ad38de6 f29b4291 e0f9d94b 5bc8d8fb
9e393272 9ac053f5 c926c614 45ef6328
d0acccb1 6c6418aa e329faff 4363daf2
b4fb2c7a ba54596c cd99212c 51aaf25d
60220163 07de0042 3303a994 9ec16c5b
d33ea947 eb8affe0 2726eef7 2a4e66ec
058acf69 5bbc31fe ff02bc6d 7df71fcf
ccc148fb 4f14f5c4 29d4947e dee7dc9a
9b06f019 21cef12a d1025c10 bc95176b
3c17ceb2 28d5b11a f9000afa 22164471
a1383f24 e571c0ea 115eb517 3bbd8cc9
c8b81b5c c86cc5fc 934c1c2d ad7846de
383b5e24 0ae402cd 85af30ec eb3f7d60
43e2cc3b a66f58d3 e2218176 cd7e359c
45f568b0 a3d5f427 88491d9d ceeef3cd
282351c1 83cfad21 dd2729fe 6708325b
f25b1142 2e28d08e 624b6ad7 98b20155
b4cd4d7c 8b13dca8 940447a8 25af2050
2cc11e74 57ef4590 0375b56b f7336b2e
a3cc75d1 18ddcd72 83a5ef96 08b84ddf
674f59b9 e90997e5 08565552 82f0f2a0
d4fa06e6 bba1b282 ea7331da 3990aa59
be5eb8f0 ce66c8a5 29452566 07e5f9ce
083824c4 2e757555 db9b57c1 f879ef72
b151d391 b1e64868 87b6b6ef 142c2cde
c9691c06 5750c757 72a11223 d2a50b7f
9acde348 4507d625 8e8838b2 abca7e4a
c96272ae cfaeee35 36086c31 48a65fe1
e981c458 c4c7996a ba4b3bdf da1740b1
30ae3de4 8c49305d d51d16b6 2b55cd5f
0fb38ebf 50f7823c 705d0ee8 3832bacc
7dfac847 6f5a56e8 dad4e071 0c7f5d3f
43677253 fb845c99 6490649c 7cd06416
1a83c607 8721f7b6 3635db0b 76658ec1
f49fdef9 27695ddc 2a6adb26 1c5b02e7
0a441af1 0334de36 b1f2e333 b5eca07d
70765c90 2257edd7 fb1c8ff5 fe6fce32
2c1e9876 592d0543 6d37cf46 880d113e
2b4194c3 54fe1928 bb99e621 4f06abb4
f741a23f 01296133 0ef87674 c9c76a6d
e11cb312 d0257f4a 4dd1596d 67a49649
793a0339 ddfb8837 086976c9 29c2d42e
c58bdef7 60a5d8e6 c0a865d7 da8fcfa5
21913ec3 35a62230 89aa031c dcf4b2d5
4e22ab17 2b05c375 bf75b6d2 9137fe41
714b9c4d 548e3285 1c1a1389 746b7ef7
b9240c6f 99866528 94d23972 2d5a2c8c
255fc8ae bb55d852 3c572340 dc0f9831
b6b44c31 cce619ea b21ba5b7 4e6f9d6e
ceb53bea c9fb8abf e0983fdc fe603325
bcf56670 dea59d42 2983c2b2 832ded5b
36ca16ae 9fcfba3a e5a15bfb a8efd9ca
4c3c962d 6252c45c ee929f1a 1f3129a1
47c1c249 6c19efa6 740a18d4 65ce95e3
0dd2b3d6 5e2a3eab 6825d634 91c54c92
fedf7b9d d02653dc 14d46693 ed48a838
2856d3e8 5fd2e57d 30377c43 7ca0f7c2
1f395577 fe15d758 ba40954e 18a94f2c
08a9b65a 09834c06 f9e87276 3b7536b8
edffc504 2938b03a f7147411 a5474463
fd1d0988 80b470ff 03f59195 3fff92ee
59823f4c 709de677 f7ea4d33 d891462e
a0b376e1 88e291c7 aa5a1652 5ed79ea8
c0b32225 3a28fcad edbdfb34 fda7d292
f29e2518 49c9ce5b 73dbac4f 84631132
40c0ea7a c59e5d0e f07a4cb1 873a4e2c
0792994d 152a5798 08a9d5f7 80c3bb14
5c5cee27 1ab31c90 7610ff4b 8e047aca
9f64f052 791dbf73 3936c366 f318659f
1f1cc607 c43537bf 16d54273 164d6c57
15fc10d7 cce6117a db0bfed3 9e0fa596
7dd64aca 3bbb5bc9 1ebe9320 290f95ef
20a287aa c3393346 f7f47565 3937e41e
928c40a8 984e2e5b dbdc2c82 4d883924
d1519193 e238b529 6cabc6b5 02a8eb66
519cf8c1 ba7483cd 475811a5 40d003af
21c4e022 cc349c18 19bcdef7 8c092029
69a604c5 eccdf70b dcc531be dd1c2dd0
caa6f5f0 ca940235 1cec77cd a01f37f1
7492198a bc643933 8cb1f5f3 7b9c30df
d7a97c2a cb0e8488 ddd695d9 43620ca4
2551930d 5f74fdc3 316616c8 1ae96288
438dde1c 22caef0d becdedb0 f2fd7c6b
dc8873bc 5b6026f7 62e02691 14b063c4
ced27b50 384c52da 659bc06e d9e18b39
63e5fb4a a440fe94 d0eb1caa 5d3b3d8e
fd9c0970 9010d9d3 489ebcf6 49aa6465
020fb02a a83c97b3 213189ef 5f48ced0
baa934fb 616c4e7a db7ddd22 20d66eb5
3dd9eb97 584f9d05 3b082bb4 1ffcb094
a47d6a78 dd9d9d89 bd90365f 7041c867
a1d76b21 8bc4de02 2db3f658 3e33911a
dfa56b1b 6b1aa4d9 98b9b652 2916f4e5
89ecddd6 96d2e879 2bc968a0 028b0342
9af7b46e f689fabe c37e9eeb 17839d14
ba0530fd f630234d cd79e3ef a4ecc636
258dcb42 4c2b3c7c 7ba7d1ef 2e245629
69e38ccc ade2c5fc 807cdd68 1a0f0590
cbff4161 942a7d59 d12c4c3d 1b0a8a8f
c6fa4ab9 3fdbe2ca 71584689 4e176b00
a8733a66 ab3bd72c 8ded027f e3dc8164
7389afe0 17be82b5 2bc7df71 510414d5
7364c66f a008b680 cfa7336e 7ad66d73
66cd9f0c f8089ce3 adfe21a9 cbdbd63b
3ceaccec 0c17b217 b1770db0 a69a220e
382ac327 53548e2c badecf39 93969ba7
e9785a60 72cc8ac1 4d360588 4a60944c
d43ae4db 66601bdf f9a67698 c581d194
6804955e 7470f003 8f4b78ba 0e8cbb6c
91099338 cbec91e7 c6d839a6 a946f7dc
477d69a4 e59cf83b b8a87bee 077855ea
b09f5b25 cee71a01 e0916391 190131fe
801f0e6f 90f67863 8580784a 1d4054ce
a005e3b2 51df0cd0 2d6bf11b d8ae1eea
7413aa49 f34945a7 1c053a98 7439e496
6588a7f5 6493ceb1 c3bbebfc b141e41a
0c76aa5b 72a7445c dccc2ea6 d6400efe
01a7649e 4c8c887b c4515c87 16114825
d2d76ead e36c58a5 c770c8bf 438cdae4
b8ba8cb3 073c014f 7645c52e 22807aef
d0bc7c13 3026cc41 58bedc63 e3050238
4b2db20d 50f1e398 587a4920 17cea99f
3a12edf5 215e7401 905baefa a366a7ba
8bbd5cbe 004d35ba 1df9f0bb 1bfd4084
38063c4c f268a8d7 66291a82 a933439c
c8c16c71 94f1479b 921c8bd1 dcf8422d
5e561cf3 cd13ae39 daaecc2e bf667b9c
6407bc3b 7f9e9494 f411d923 d9d9c72f
2dce7b47 00539cc6 52541d62 2e057a25
63ec83fd 964096ca 89d99f23 04760309
59b2fb69 a8fd8608 cecc2487 14d2d960
515a18c1 a60e8074 8ba964a4 033c562c
a39e8d3a e31aff47 3884dd8e 754d170c
5a70f192 81619f79 6d1b44ed 1b07b324
74d81668 b061d01d e5311f90 29ad8636
550c7aa2 66c0ee38 0c082a16 7f1b9f3c
ae69ab58 c9ff0cc9 214e3faf 88a3c505
54a6a130 5273ca2a eabc3288 50c3dcc3
973aa99f 4f40ee51 80220b09 a704831d
395fb1e3 ebe2b608 b782d1ac 8b5bd81d
f6858fca 69a71368 d9c8281d cd37d7f9
fe8f7c01 c9800d20 a000a125 27dfa474
647ca6c7 334b88f7 ef80b768 ff420b6a
847242b7 3925b34c dfdf9161 525cb2df
de82c76b 59b53a93 7b6b172a 40b113a3
cd2d4a3a 50b5cc71 f74f6438 0540996e
dcb7ba08 83bf32ab 16c74c6a 2fada4c6
0044c777 19f2f6cb f5b367be 9cc93d2d
34697488 a832e9f8 89089b54 382490e2
b10aeb94 a60850ae 45e29b42 232bb2b0
a720f038 4e622efe 8349e645 3b7f53ce
4c3ca753 b1994727 76ff1126 02968bc8
6019c60a 9d3f89a0 8cc0f5bd b224a181
20e820e2 7af1fe93 3f5fdb7a 39490535
0bb49792 61dec2ae a4f2b845 3e7107fb
f36b523a 3ee45603 b3c87567 d8db8c99
737d0a03 3f83ec0c 3126ec08 a37fb0bf
7269432d 7dde2010 7e788071 8e85ce44
35141d6b c390b330 685cf24e 9b331d90
bbbcdd0d 7b491f83 3d2661b4 a6f11bd4
7f61d5fb 7e7b8317 873f646a 5264f709
6e9e04ba 1371dba4 7aafd0f8 555be3d2
4b2ded84 c1f1027a 4f369ab8 fe1ab8db
0f7b70eb e4309837 0ff59a0c 2012c956
031214a2 ed69a539 e9fa8bda 3cea499b
421eb766 8d437b03 2067beaf cabc4b71
074b6bc4 93ed087d e22fddd3 b2738471
cd654f68 541a0f48 dd08637c 797741f4
a1aa6517 cf573243 91441078 90b0ac1c
a4d9ef46 559b5b89 093c3a3f 7bd1ff31
e4bf8fec e8612228 031d5b49 54fd6140
ec154695 de6c3b2c 9633cd5b dbfb7ad6
94c489d4 021fd3bd b6639da2 e86d7392
17022b3c db0d1295 21acac7a 9f8d1db3
ad11184c d530860e 63a539f9 1db84c32
586c5acc cfae8a42 ef37cfe0 6182cb89
3d52a7b3 e329cefc ee2bbdb2 b2767dde
de04b5e2 364c886d e37c0a6c 6618d4e3
2cb12b2b 53796447 05453770 f6f66ab3
1f723bc0 b531a3bc 146ebbe9 17483b37
32545a15 6c50fc16 1fdcc5b4 c2c34068
d022d609 3f0bf040 7cc157a9 320fc055
d8b728ce 9f145ff2 7669970e c19ad12f
c76358e8 1a0fa882 17c2cb71 42ec3f18
8d326c10 099e6ab8 e08b30e1 4179cf45
9e849f64 b851129d 8d5401ee 0153cf9b
1900e4b1 5044906d 817bbd6a 17df9c94
55162083 25cdad03 6a50f6fc 355c2abd
dcd5ec53 e804ab98 42521dae 9a291f7d
e8cdea2f a463831d 8dc68d0c 9bd98775
54d560fc 41f074a3 6adaed58 81a0fb19
68ad83a5 2a73cc93 bb04d020 8a1d6478
34ce1d31 c28a4faa 4e7ec6dd dcac800a
dfe4af67 9aa29262 7004cb3e b0c6600f
8f7f4c85 9f54d083 7baa7b5c 83edd336
6539dd31 72aa17ac 4ce6f435 d82dc583
27e5da1d a0c3fc84 861c156d 4bb80292
6654167e 81a8c0b4 e5f386fd d50ca278
bab6d093 9d1025f0 d20834dc b8c4f049
f87ce84d 37af01bc 4c061cfb 88258a1e
130614f8 e1138023 424fc618 d855a2a7
382348f1 84ea262b 81f60279 4007220f
1871ac89 102fadca 42645107 d91b2adb
f1f0bf88 3cbda8df fcd556e4 3b708e38
66721607 99136274 1ba006e6 5530c9f0
26b33ef7 b93067b4 f0a77aee 64d53aff
f4b7e047 ec9b1347 78b80df8 15148ebd
22176cb2 e6a72e00 8a938866 adffa167
e0a0de11 8562b3b1 ce65f40b 9ee7d1eb
070ecba6 2fd12a01 bd0b04c9 089174f3
74e60b19 fb8959f4 ee6f23bf 52213f3a
71474fac 7b82c1f7 9683ea2f dd8eae9d
3e0163cb fab3a1c7 8f85c0f2 1b0626c4
e52d2e09 5eec5ca5 3f632469 22a51972
63ac06a6 48507031 b3d78f08 dbc03e9f
3d7811b9 c7935da9 570c061a dccf1fec
88089376 82409e0f 6bab6b9d cb147517
551f5e9c 20bd2086 777b0b75 ec944ceb
7081f17a caff5b32 ce6a8b50 39680e5e
767a6d03 cb9d0598 6659af8c b22cb052
9321be8a 436b41e7 fb0f31ad 75e0df04
11b0abd5 706f462b 243794d3 ede939b0
6385d239 1ddfb94c e666fe3c 426db3a3
13df6134 54e4622b 025a5c00 9c523af4
aa601fb4 724e1b9c 43a52000 99f3e3d0
6b0b0cef 5a9a6e99 80e775ba 5720483b
b636924a cc9da431 d91ad59b ddd8989b
c412fc3c 349c76cf af440042 c000fe54
ef76fdab 7125f005 0446075f 31b13e0a
397a39cd 4a8b87fe 6a31f7a2 68ee0ebf
714df0bc 10860d47 81b261ca e241b9ec
947d24e0 51a8f727 a6339cf0 c9bdb253
836caed5 a43d4c35 0f797bf9 5e0897ee
1b10335a 6453739f 7e248526 18b71c8f
9f651cee dabdfc89 6f1a66db 9c7eeab7
57eb1cff cc52af85 57c0398d 70767943
31d2a48d 173a2214 3c7c753e a70cd96c
df229e68 80748775 592b65af 5184daf1
c07ca3b1 bf534449 3d1ec23b 84c3263e
aa53ff34 5a4ed115 3c9c6ef5 deb9c098
84dab773 2a5434d4 4f600463 e0941d79
f0330f49 f9c1c458 e7e889d6 53ee270b
12fb41c7 2066c920 24cd924f 284d4ac6
6c41c347 19760290 6bff0fec b3c1ea95
0c520ec6 248d15ee 4bd89fa1 96f6d01a
317a9efe 372ab91b 430a0381 479602dd
d42e97a5 5317c776 9f478939 59c7fec2
6f15c0e7 eac6cb36 243d83d2 ceafe0cf
04d9be23 70657e1e 172d9387 d445d110
bddc1f42 4a4539a0 92b059e4 a165d0f9
b6b9a677 c5a4b93d 0cf35dc4 1eed8c33
5e74f892 05052f18 ef5fdc2b 17dd0ecf
d917db42 3bb8f86c 6621b868 99674301
b8693e71 92ee7005 32bbdbe0 11954ba1
dba151d2 08af6af9 78a4f842 a2f600b3
58d693a1 d1334a29 16cd32ad ebd8c71c
6a3ba01d 997ebcad 26a4975d 058da4e9
98effb2d aa9b85d9 1bb2e4a8 c2963b00
ef1920d2 4856f0e5 835771d9 9170e9e8
b66e9d08 43604c63 0b6b0f26 cf667f06
7d7c7c67 df8b4f29 c1e1aa34 d4345dc1
7f05fa6e 34468bca 7e1921bb 28bf18d5
47957a7d b3bb0953 405320f6 bbd42816
f43bf235 86ef72ef 6afdea4b 4274d754
7c7b0eb6 07703531 dd300ea3 7cf788af
c92a1ae1 726c3b99 69da3281 a3f57df5
4f466b7a 2c8a98ca 15fb181a 82d27439
3764efd7 99eee515 31b90439 10025f3e
03685697 f4f04388 f30b4406 052e3e83
f4ed9a7b d7806f8e 22a50c25 78e44b17
e46b72fc 0d75048c 65b919f0 378c7853
c453e35b 17646e3e 4412d755 420bb071
a4c2d24a b23ddd10 9293e4b9 f6896c96
69a0d487 00ca791c caa67711 7518b03f
d00bd141 74fad458 3be76591 418038a5
2835aac3 d36aead4 c753d803 4cf7a663
18f7469a 65fa845d 3fa9072e 676d6691
c1886f1e 4355cc01 fe526abd 3bdedfa1
b2e0a0c5 1c4e301c 64f15a51 69a5f9e3
8e3c7ba4 7d0e517b 97ad177d 70ba369f
b8c81b85 3e4e490d b2c61fc4 2a86d0ce
66364a2c 20d49127 0a020881 8162373e
4dd69d35 fb121935 77a78b40 06b44e42
4584a007 fe728276 6cc0656c 4cb26a82
5b140517 e0dd6f2e 92a76cd5 3ca0365c
32a3d30f 5147ebcc 19351a03 aa16e010
5064ae7e 6f9eecaf b9c7d4ee 7e0c0c3a
b5dcc064 bdc220b5 e46847b9 ac7d88bf
240981e8 5da689e3 af77f0ad 8ebb6e4f
ddbc252e ae5936da 6c0d1c7c f1d4776b
79ea4be2 38ddf027 d7f35ec3 dfa329f0
a61ee7bc f243065d 397bfd78 a4e28286
775aeb84 26ef630f b98f895e 3f0b0b1f
ca722738 f6146401 192dbb19 005c4c78
1bf24afa e330f838 73bd4b21 e87f6331
253edf7b 7e9fdbe9 19740f8b c6ee24f0
41a1a7f7 a25955e1 758df1b7 49cf9fc8
0cbe0487 c900d57a dee9bd13 9bd953f3
e095c850 ecb8c399 03883e43 bdc661b2
ed68b892 53c2ba98 90ff8f2d 3a1d3109
54960344 5f0c5763 33376e16 864ec0ce
3f186bef d0bc13fb 1e688913 ef5db51a
7a079486 1842a534 1ce5bba0 91b1480b
c4850fb9 c5b47912 304404d0 472f9210
bc33fd6a 30ebad91 db502153 a9c98b1f
2c609127 931807b7 4a92e0fb 2921333f
21bb0a2f 49b906d2 8c32be04 de41ad61
1b58f357 3137c331 f7bb2c67 dc5fe8a1
703931b9 04b71160 06b1a8c3 ae87a995
8b10b812 e5948106 c768ed17 dcc81af4
af8612ed f1885d7a 2639e255 1b1dd200
ff7496c8 a14a8e9b c2175897 e3865b2c
0bc4f1a9 bf53d330 83a1577c 58f45614
2e2578b5 cfdbb27f 630c0965 c9b8e6f0
9588ef19 ffe3e994 b5a4345d 4f883952
f6ec18ed d73d3857 7c37f393 8c476e62
01e2d2d1 2c973780 73375e16 ad2d16e3
2f13a967 38f169e4 85022d12 bd08211e
f7c1c57a 5d6202f4 0967dd00 bc7ed9eb
6d3f8f97 31e5edde a61cbbe9 fdc100c3
9e1f69ea cab4d493 a106ac8f e0425906
799dc153 049b9f5d cae3aa7a 8d8c9a88
b0090280 58071953 249d3f8f 52c0d0d3
e577f916 d7c4f4bb 8dc0dee4 9396039d
